ANIO,MES,ENTIDAD PRESTADORA,CONCESION,TOTAL CARGA NACIONAL,TOTAL CARGA INTERNACIONA,TOTAL OPERACION NACIONAL,TOTAL OPERACION INTERNACIONAL
2019,1,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1892.709,21963.968,8437,7289
2019,2,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1887.864,15837.726,8096,6527
2019,3,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2257.338,18690.349,9056,7105
2019,4,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2108.846,17872.451,9338,6720
2019,5,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2153.86,18309.415,10353,6936
2019,6,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2180.64,18544.431,20725,6614
2019,7,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2261.786,21821.225,10245,7231
2019,8,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2489.027,21103.668,10828,6975
2019,9,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2451.049,22496.123,10140,6619
2019,10,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2728.709,21803.614,9567,6738
2019,11,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2413.527,22337.149,9625,6728
2019,12,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2499.418,23221.259,10183,6812
2020,1,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2605.0264,21864.10434,9903,6891
2020,2,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2297.21562,15942.98726,9361,6340
2020,3,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1418.52576,12022.75389,5507,3712
2020,4,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,518.89744,8083.79971,970,516
2020,5,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1083.96257,11505.48704,1291,614
2020,6,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,926.91334,11955.09286,1183,663
2020,7,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1345.86343,12768.90614,1812,665
2020,8,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1317.19739,13549.6936,1983,646
2020,9,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1353.23679,14281.31423,2056,759
2020,10,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1508.25265,17137.34062,3601,1061
2020,11,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1653.18857,16803.45851,4462,1587
2020,12,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2391.8636,16029.97875,5604,2069
2021,1,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1735.14095,17602.6037,5855,2415
2021,2,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1433.0318,12836.27852,3047,1905
2021,3,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2124.95893,15625.90595,4466,1872
2021,4,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1620.68869,15020.29876,4658,1675
2021,5,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1822.6691,15562.15578,5617,1976
2021,6,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1734.70894,15600.32793,5837,2096
2021,7,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1857.47457,17777.11089,6593,2565
2021,8,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1833.25642,15878.20428,6908,2579
2021,9,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1962.05589,17418.39479,7008,2619
2021,10,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1964.63594,17499.44451,7323,2905
2021,11,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2152.95708,17190.72628,7551,3192
2021,12,LIMA AIRPORT PARTNERS S.R.L. - LAP,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2555.57206,18394.23531,7898,3445
